"ID","Area","Role","Route/Endpoint","Preconditions","Steps","Expected Result","Actual Result","Status","Severity","Evidence","Notes"
"API-UPLOAD-003","Backend Endpoint","User","POST /api/upload/complete","Reservation and objectKey available","Submit valid completion and missing storage object.","Valid completion creates job; missing object fails/refunds safely.","","Not Run","Critical","",""
"API-JOB-001","Backend Endpoint","User","GET /api/summary-jobs/:jobId","Owned job exists","Request owned job status.","Returns expected status and metadata.","","Not Run","High","",""
"API-JOB-002","Backend Endpoint","User","POST /api/summary-jobs/upload","Valid user token and multipart file","Submit valid and invalid legacy upload bodies.","Creates job or fails with clear validation.","","Not Run","Medium","","Legacy upload path."
"API-JOB-003","Backend Endpoint","User","GET /api/summary-jobs/:jobId foreign","Approved cross-user test data","Request another user's job status.","Access is denied or security defect is logged.","","Not Run","Critical","","Run only with approved staging data."
"API-SUM-001","Backend Endpoint","User","GET /api/summaries","Valid user token","Request endpoint.","Returns only current user's summaries and expected signed URLs.","","Not Run","Critical","",""
"API-SUM-002","Backend Endpoint","User","GET /api/summaries/prompt-config","Valid user token","Request endpoint.","Returns prompt config or clear environment error.","","Not Run","Medium","",""
"API-SUM-003","Backend Endpoint","User","PUT /api/summaries/prompt-config","Approval to edit staging prompt config","Submit valid and invalid config bodies.","Valid config saves; invalid body fails validation.","","Not Run","High","","Do only with approval."
"API-SUM-004","Backend Endpoint","User","GET /api/summaries/download-history","Valid user token","Request endpoint.","Returns current stub/array behavior without error.","","Not Run","Low","",""
"API-SUM-005","Backend Endpoint","User","GET /api/summaries/view?id=...","Completed summary exists","Request route called by frontend detail page.","If 404, record as defect because frontend depends on it.","","Not Run","High","","Frontend-called route, not mounted in current backend inventory."
"API-PREV-001","Backend Endpoint","User","GET /api/preview?id=...","Owned summary exists","Request valid, missing, unknown, and foreign IDs if approved.","Owned returns HTML; missing 400; unknown/foreign 404.","","Not Run","High","",""
"API-DOWN-001","Backend Endpoint","User","GET /api/download?jobId=...&format=pdf","Completed owned summary exists","Request PDF download.","Streams valid PDF attachment.","","Not Run","Critical","",""
"API-DOWN-002","Backend Endpoint","User","GET /api/download?jobId=...&format=docx","Completed owned summary exists","Request DOCX download.","Streams valid DOCX attachment.","","Not Run","Critical","",""
"API-DOWN-003","Backend Endpoint","User","GET /api/download?jobId=...&format=txt","Completed owned summary exists","Request TXT download.","Streams valid TXT attachment.","","Not Run","High","",""
"API-DOWN-004","Backend Endpoint","User","GET /api/download?jobId=...&format=csv","Completed owned summary exists","Request CSV download.","Streams valid CSV attachment.","","Not Run","High","",""
"API-DOWN-005","Backend Endpoint","User","GET /api/download?jobId=...&format=bad","Completed owned summary exists","Request unsupported format.","Returns 400 unsupported format.","","Not Run","Medium","",""
"API-DOWN-006","Backend Endpoint","User","GET /api/download missing query","Valid user token","Request without jobId and/or format.","Returns 400 with clear error.","","Not Run","Medium","",""
"API-DOWN-007","Backend Endpoint","User","GET /api/download foreign job","Approved cross-user test data","Request another user's job download.","Access is denied or security defect is logged.","","Not Run","Critical","","Run only with approved staging data."
"API-EMAIL-001","Backend Endpoint","User","POST /api/email-notifications","Owned summary exists","Submit valid body, missing fields, and wrong job ID.","Valid save succeeds; missing fields 400; wrong job 404.","","Not Run","High","",""
"API-SUP-001","Backend Endpoint","Guest/User","POST /api/support","None","Submit valid ticket and missing fields as guest/auth user.","Valid ticket creates; missing fields fail 400.","","Not Run","High","",""
"API-SUP-002","Backend Endpoint","Admin","GET /api/support","Admin and standard tokens","Request as admin and standard user.","Admin lists tickets; standard user is denied.","","Not Run","High","",""
"API-SUP-003","Backend Endpoint","Admin","PATCH /api/support/:id","Support ticket exists","Submit valid status, invalid status, and unknown ticket.","Valid status persists; invalid cases fail clearly.","","Not Run","High","",""
"API-SUP-004","Backend Endpoint","Admin","POST /api/support/:id/reply","Support ticket exists","Submit valid reply, empty message, and unknown ticket.","Valid reply persists and email path runs; invalid cases fail.","","Not Run","High","",""
"API-ADM-001","Backend Endpoint","Admin","GET /api/admin/metrics/overview","Admin token","Request endpoint.","Returns overview KPIs.","","Not Run","High","",""
"API-ADM-002","Backend Endpoint","Admin","GET /api/admin/metrics/revenue","Admin token","Request endpoint.","Returns revenue metrics.","","Not Run","High","",""
"API-ADM-003","Backend Endpoint","Admin","GET /api/admin/metrics/users","Admin token","Request endpoint.","Returns user metrics.","","Not Run","High","",""
"API-ADM-004","Backend Endpoint","Admin","GET /api/admin/metrics/summaries","Admin token","Request endpoint.","Returns summary metrics.","","Not Run","High","",""
"API-ADM-005","Backend Endpoint","Admin","GET /api/admin/metrics/downloads","Admin token","Request endpoint.","Returns download metrics.","","Not Run","High","",""
"API-ADM-006","Backend Endpoint","Admin","GET /api/admin/metrics/support","Admin token","Request endpoint.","Returns support metrics.","","Not Run","High","",""
"API-ADM-007","Backend Endpoint","Admin","GET /api/admin/metrics/system-health","Admin token","Request endpoint.","Returns system health without secret leakage.","","Not Run","High","",""
"API-ADM-008","Backend Endpoint","Admin","GET /api/admin/billing/expired","Admin token","Request endpoint.","Returns expired credit summary.","","Not Run","Medium","",""
"API-ADM-009","Backend Endpoint","Admin","POST /api/admin/reset-stuck-jobs","Admin token; approved staging window","Call endpoint once.","Stuck jobs reset and count is returned.","","Not Run","High","","Mutates staging data."
"API-ADM-010","Backend Endpoint","Admin","POST /api/admin/reset-stuck-jobs-emergency","Admin and standard tokens","Request as admin and standard user.","Admin succeeds; standard user is denied despite emergency name.","","Not Run","High","",""
"API-FT-001","Backend Endpoint","User/Admin","POST /api/fine-tune/upload-human-summary","Valid token and file","Upload multipart file and missing file.","Valid upload succeeds; missing file fails clearly.","","Not Run","Medium","",""
"API-FT-002","Backend Endpoint","User/Admin","POST /api/fine-tune/upload-training-pair","Valid token and file","Upload multipart file and missing file.","Valid upload succeeds; missing file fails clearly.","","Not Run","Medium","",""
"API-FT-003","Backend Endpoint","User/Admin","POST /api/fine-tune/generate-pairs","Transcript and summary files available","Upload both files with optional instructions.","Pairs generate or environment error is clear.","","Not Run","Medium","",""
"API-FT-004","Backend Endpoint","User/Admin","GET /api/fine-tune/history","Valid token","Request endpoint.","Returns current user's training history.","","Not Run","Medium","",""
"API-VAL-001","Backend Endpoint","User","POST /api/validation/run","Job ID and summaryName available","Submit valid job, missing fields, and foreign job if approved.","Valid validation runs; invalid/foreign behavior is safe or logged.","","Not Run","High","",""
"API-WEB-001","Backend Endpoint","User","POST /api/webcopy","Valid token","Submit valid route/lines and invalid body.","Valid body succeeds; invalid body returns 400.","","Not Run","Low","",""
"API-SNAP-001","Backend Endpoint","Ops","POST /api/snapshots","Snapshot upload enabled if intended","Upload multipart snapshot file.","Snapshot is stored or endpoint is documented disabled.","","Not Run","Low","","QA evidence endpoint."
"API-SNAP-002","Backend Endpoint","Ops","POST /api/snapshots/meta","Snapshot metadata enabled if intended","Post metadata body.","Metadata is logged or endpoint is documented disabled.","","Not Run","Low","","QA evidence endpoint."
"API-CLEAN-001","Backend Endpoint","Admin/Ops","POST /api/cleanup/summaries","Admin-role JWT token available","Request as admin-role token and standard user.","Admin-role token succeeds; standard user fails 403.","","Not Run","High","","Mutates cleanup state."
"API-DBG-001","Backend Endpoint","Ops","GET /api/debug/stripe-account","Debug config known","Request endpoint in staging.","Disabled returns 404; enabled returns account diagnostic only.","","Not Run","Medium","",""
"API-DBG-002","Backend Endpoint","Ops","GET /api/debug/stripe-key-prefix","Debug config known","Request endpoint in staging.","Disabled returns 404; enabled returns non-secret prefix only.","","Not Run","Medium","",""
"API-ASSET-001","Backend Endpoint","Any","GET /api/assets/:filename","Allowed asset filename known","Request allowed and disallowed filenames.","Allowed asset returns; disallowed filename returns 404.","","Not Run","Low","",""
"NEG-001","Negative/Security","Ops","Malformed JSON endpoint","API reachable","Send malformed JSON to JSON endpoint.","Returns 400 INVALID_JSON and server remains healthy.","","Not Run","High","",""
"NEG-002","Negative/Security","Guest","Protected API without token","Protected endpoint selected","Remove Authorization header.","Returns 401 and no protected data.","","Not Run","Critical","",""
"NEG-003","Negative/Security","Guest","Protected API with invalid token","Protected endpoint selected","Use invalid bearer token.","Returns invalid-token response and no protected data.","","Not Run","Critical","",""
"NEG-004","Negative/Security","Guest","Protected frontend routes","Logged out browser","Open protected route directly.","Redirects to /login.","","Not Run","Critical","",""
"NEG-005","Negative/Security","User","Admin APIs","Standard user token","Call admin endpoints with standard user token.","Returns 403 and no sensitive data.","","Not Run","Critical","",""
"NEG-006","Negative/Security","User","GET /api/preview?id=foreign","Approved cross-user data","Request another user's preview.","Access denied with 404 or equivalent.","","Not Run","Critical","",""
"NEG-007","Negative/Security","User","Download/status/validation foreign IDs","Approved cross-user data","Request another user's IDs on ownership-sensitive endpoints.","Access denied or defect logged with evidence.","","Not Run","Critical","",""
"NEG-008","Negative/Security","User","/create-summary; /api/upload/*","User logged in","Upload invalid extension and missing metadata.","No job is created and no credits are consumed.","","Not Run","High","",""
"NEG-009","Negative/Security","User","Signed storage upload","Upload flow started","Begin upload then fail/abort signed PUT.","Reservation is not completed and UI shows recovery path.","","Not Run","High","",""
"NEG-010","Negative/Security","User/Ops","Payment confirm/webhook replay","PaymentIntent/webhook event available","Replay confirm and webhook.","Credits are not duplicated.","","Not Run","Critical","",""
"NEG-011","Negative/Security","User","GET /api/download unsupported format","Completed summary exists","Request unsupported format.","Returns 400 and UI shows clear error.","","Not Run","Medium","",""
"NEG-012","Negative/Security","User/Admin","Missing IDs","Valid tokens","Call preview/download/email/support endpoints with missing or unknown IDs.","Returns 400/404 without crashing.","","Not Run","Medium","",""
"NEG-013","Negative/Security","User","Network offline/slow","Browser devtools available","Throttle/offline during upload, checkout, and download.","UI shows loading/error states and can recover.","","Not Run","High","",""
"NEG-014","Negative/Security","User","Support and summary metadata inputs","User logged in","Paste script-like content into text fields.","Content is handled safely without script execution.","","Not Run","High","",""
"NEG-015","Negative/Security","Non-admin","/admin","Standard user logged in","Navigate directly to /admin.","Sensitive backend data is blocked even if page shell renders.","","Not Run","Critical","",""
